Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,45
design__inferred_latch__count,0
design__instance__count,4299
design__instance__area,18058.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0014205186162143946
power__switching__total,0.000643265200778842
power__leakage__total,1.2691604212022867E-8
power__total,0.0020637966226786375
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.001987798870658903
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.001987798870658903
timing__hold__ws__corner:nom_tt_025C_1v80,0.6911214018919756
timing__setup__ws__corner:nom_tt_025C_1v80,8.341041871063357
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.691121
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,8.341042
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,34
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,2
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.001989519716395741
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.001989519716395741
timing__hold__ws__corner:nom_ss_100C_1v60,1.3678744080151888
timing__setup__ws__corner:nom_ss_100C_1v60,6.400126387792698
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.367874
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,6.400126
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.0019792223975511145
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.0019792223975511145
timing__hold__ws__corner:nom_ff_n40C_1v95,0.4417352997308042
timing__setup__ws__corner:nom_ff_n40C_1v95,9.000243471916185
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.441735
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,9.000243
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,133
design__max_fanout_violation__count,0
design__max_cap_violation__count,3
clock__skew__worst_hold,0.003746447702554368
clock__skew__worst_setup,0.0013606338663107143
timing__hold__ws,0.4340711801748801
timing__setup__ws,6.38532667036667
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.434071
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,6.385327
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 380.0 380.0
design__core__bbox,5.52 10.88 374.44 367.2
design__io,420
design__die__area,144400
design__core__area,131454
design__instance__count__stdcell,4299
design__instance__area__stdcell,18058.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.137376
design__instance__utilization__stdcell,0.137376
design__instance__count__class:buffer,9
design__instance__count__class:inverter,8
design__instance__count__class:sequential_cell,185
design__instance__count__class:multi_input_combinational_cell,459
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,13859
design__instance__count__class:tap_cell,1862
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
floorplan__design__io,418
design__io__hpwl,55758881
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,45473.4
design__violations,0
design__instance__count__class:timing_repair_buffer,473
design__instance__count__class:clock_buffer,21
design__instance__count__class:clock_inverter,11
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,3
antenna__violating__pins,3
route__antenna_violation__count,3
design__instance__count__class:antenna_cell,1271
antenna_diodes_count,3
route__net,1319
route__net__special,2
route__drc_errors__iter:1,341
route__wirelength__iter:1,59222
route__drc_errors__iter:2,88
route__wirelength__iter:2,59093
route__drc_errors__iter:3,29
route__wirelength__iter:3,59101
route__drc_errors__iter:4,0
route__wirelength__iter:4,59096
route__drc_errors,0
route__wirelength,59096
route__vias,9754
route__vias__singlecut,9754
route__vias__multicut,0
design__disconnected_pin__count,41
design__critical_disconnected_pin__count,0
route__wirelength__max,1764.53
timing__unannotated_net__count__corner:nom_tt_025C_1v80,112
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,112
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,112
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.00136407555778439
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.00136407555778439
timing__hold__ws__corner:min_tt_025C_1v80,0.67997237542992
timing__setup__ws__corner:min_tt_025C_1v80,8.34959147677319
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.679972
