Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,45
design__inferred_latch__count,0
design__instance__count,7471
design__instance__area,51534.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.006315764505416155
power__switching__total,0.003384772688150406
power__leakage__total,5.5189293135526896E-8
power__total,0.009700591675937176
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.22224719915702984
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.22224719915702984
timing__hold__ws__corner:nom_tt_025C_1v80,0.5014613866086449
timing__setup__ws__corner:nom_tt_025C_1v80,4.136836323922676
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.816642
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,5.401809
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.23617916624246893
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.23617916624246893
timing__hold__ws__corner:nom_ss_100C_1v60,0.7682273923336211
timing__setup__ws__corner:nom_ss_100C_1v60,-0.24329694503252344
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-6.314721368984964
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.24329694503252344
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.858362
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,31
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-0.243297
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,30
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.21779059727668945
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.21779059727668945
timing__hold__ws__corner:nom_ff_n40C_1v95,0.41102178379760457
timing__setup__ws__corner:nom_ff_n40C_1v95,5.4342656357431425
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.456360
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,465
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.21564348139749104
clock__skew__worst_setup,0.21564348139749104
timing__hold__ws,0.40830517900181845
timing__setup__ws,-0.3598161870299524
timing__hold__tns,0.0
timing__setup__tns,-9.203088329679405
timing__hold__wns,0
timing__setup__wns,-0.3598161870299524
timing__hold_vio__count,0
timing__hold_r2r__ws,0.449544
timing__hold_r2r_vio__count,0
timing__setup_vio__count,93
timing__setup_r2r__ws,-0.359816
timing__setup_r2r_vio__count,90
design__die__bbox,0.0 0.0 380.0 380.0
design__core__bbox,5.52 10.88 374.44 367.2
design__io,160
design__die__area,144400
design__core__area,131454
design__instance__count__stdcell,7471
design__instance__area__stdcell,51534.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.392035
design__instance__utilization__stdcell,0.392035
design__instance__count__class:buffer,17
design__instance__count__class:inverter,41
design__instance__count__class:sequential_cell,599
design__instance__count__class:multi_input_combinational_cell,1445
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,13818
design__instance__count__class:tap_cell,1862
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
floorplan__design__io,158
design__io__hpwl,16963658
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,97.46
design__instance__displacement__mean,0.012
design__instance__displacement__max,11.38
route__wirelength__estimated,64258.4
design__violations,0
design__instance__count__class:timing_repair_buffer,1187
design__instance__count__class:clock_buffer,113
design__instance__count__class:clock_inverter,66
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
design__instance__count__class:antenna_cell,2141
antenna_diodes_count,0
route__net,3485
route__net__special,2
route__drc_errors__iter:1,1119
route__wirelength__iter:1,81287
route__drc_errors__iter:2,119
route__wirelength__iter:2,80549
route__drc_errors__iter:3,116
route__wirelength__iter:3,80442
route__drc_errors__iter:4,13
route__wirelength__iter:4,80374
route__drc_errors__iter:5,0
route__wirelength__iter:5,80377
route__drc_errors,0
route__wirelength,80377
route__vias,25364
route__vias__singlecut,25364
route__vias__multicut,0
design__disconnected_pin__count,24
design__critical_disconnected_pin__count,0
route__wirelength__max,2073.24
timing__unannotated_net__count__corner:nom_tt_025C_1v80,107
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,107
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,107
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2196437260906526
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2196437260906526
timing__hold__ws__corner:min_tt_025C_1v80,0.5021516677937281
timing__setup__ws__corner:min_tt_025C_1v80,4.182174724906155
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
