Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,32
design__inferred_latch__count,0
design__instance__count,11751
design__instance__area,96127.2
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,60
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.015266282483935356
power__switching__total,0.009480338543653488
power__leakage__total,1.1037934655178105E-7
power__total,0.02474673092365265
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.5512134238401971
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.5702680711284385
timing__hold__ws__corner:nom_tt_025C_1v80,0.40127513558876626
timing__setup__ws__corner:nom_tt_025C_1v80,6.51014460766327
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.739262
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,8.888590
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,60
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.7834710879597531
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.8173597585664534
timing__hold__ws__corner:nom_ss_100C_1v60,1.0629508685219455
timing__setup__ws__corner:nom_ss_100C_1v60,1.7051525118963176
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.731457
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,3.363111
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,60
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.4546577409914003
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.46480506870115784
timing__hold__ws__corner:nom_ff_n40C_1v95,0.27697001032174373
timing__setup__ws__corner:nom_ff_n40C_1v95,8.363304063782758
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.396110
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,10.713902
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,60
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.44051255556805174
clock__skew__worst_setup,0.4506546652294459
timing__hold__ws,0.24834579540210003
timing__setup__ws,1.4942225657499073
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.393297
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,3.238497
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 450.0 450.0
design__core__bbox,5.52 10.88 444.36 437.92
design__io,387
design__die__area,202500
design__core__area,187402
design__instance__count__stdcell,11751
design__instance__area__stdcell,96127.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.512946
design__instance__utilization__stdcell,0.512946
design__instance__count__class:buffer,1240
design__instance__count__class:inverter,52
design__instance__count__class:sequential_cell,1218
design__instance__count__class:multi_input_combinational_cell,2613
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,19201
design__instance__count__class:tap_cell,2623
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
floorplan__design__io,385
design__io__hpwl,76397777
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,223286
design__violations,0
design__instance__count__class:timing_repair_buffer,3635
design__instance__count__class:clock_buffer,205
design__instance__count__class:clock_inverter,104
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,5
antenna__violating__pins,5
route__antenna_violation__count,5
design__instance__count__class:antenna_cell,1301
antenna_diodes_count,26
route__net,7973
route__net__special,2
route__drc_errors__iter:1,2751
route__wirelength__iter:1,241117
route__drc_errors__iter:2,956
route__wirelength__iter:2,239442
route__drc_errors__iter:3,801
route__wirelength__iter:3,238798
route__drc_errors__iter:4,109
route__wirelength__iter:4,238618
route__drc_errors__iter:5,7
route__wirelength__iter:5,238601
route__drc_errors__iter:6,0
route__wirelength__iter:6,238585
route__drc_errors,0
route__wirelength,238585
route__vias,51625
route__vias__singlecut,51625
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,387.835
timing__unannotated_net__count__corner:nom_tt_025C_1v80,142
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,142
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,142
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,60
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.5292680887809851
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.5481255604544765
timing__hold__ws__corner:min_tt_025C_1v80,0.45214933077419517
timing__setup__ws__corner:min_tt_025C_1v80,6.621383184717025
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
