Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,55
design__inferred_latch__count,0
design__instance__count,3422
design__instance__area,21857.2
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,37
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.002046015579253435
power__switching__total,0.0006893542013131082
power__leakage__total,2.4837252254883424E-8
power__total,0.0027353947516530752
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2881439335358306
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.29414119195101607
timing__hold__ws__corner:nom_tt_025C_1v80,0.7675037489457044
timing__setup__ws__corner:nom_tt_025C_1v80,5.372372476726672
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.767504
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,5.372373
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,37
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.3078548891836408
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.32015732637860006
timing__hold__ws__corner:nom_ss_100C_1v60,1.771268293284072
timing__setup__ws__corner:nom_ss_100C_1v60,0.28553160644058156
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.771268
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,0.285532
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,37
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2779466180329756
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.28209466117047044
timing__hold__ws__corner:nom_ff_n40C_1v95,0.41750426519942546
timing__setup__ws__corner:nom_ff_n40C_1v95,7.084171672014796
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.417504
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,7.084172
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,37
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.27500580369102534
clock__skew__worst_setup,0.27836758686024365
timing__hold__ws,0.41318549751149053
timing__setup__ws,0.23915359258744034
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.413186
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,0.239154
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 300.0 300.0
design__core__bbox,5.52 10.88 294.4 288.32
design__io,89
design__die__area,90000
design__core__area,80146.9
design__instance__count__stdcell,3422
design__instance__area__stdcell,21857.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.272714
design__instance__utilization__stdcell,0.272714
design__instance__count__class:inverter,18
design__instance__count__class:sequential_cell,278
design__instance__count__class:multi_input_combinational_cell,612
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,8288
design__instance__count__class:tap_cell,1144
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
floorplan__design__io,87
design__io__hpwl,8453306
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,39058.7
design__violations,0
design__instance__count__class:timing_repair_buffer,585
design__instance__count__class:clock_buffer,49
design__instance__count__class:clock_inverter,22
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,714
antenna_diodes_count,0
route__net,1568
route__net__special,2
route__drc_errors__iter:1,400
route__wirelength__iter:1,45141
route__drc_errors__iter:2,89
route__wirelength__iter:2,44780
route__drc_errors__iter:3,46
route__wirelength__iter:3,44609
route__drc_errors__iter:4,0
route__wirelength__iter:4,44616
route__drc_errors,0
route__wirelength,44616
route__vias,11004
route__vias__singlecut,11004
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,480.71
timing__unannotated_net__count__corner:nom_tt_025C_1v80,32
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,32
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,32
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,37
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.28441097504340696
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2896634403214584
timing__hold__ws__corner:min_tt_025C_1v80,0.7610038370419039
timing__setup__ws__corner:min_tt_025C_1v80,5.420692936838633
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.761004
