Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,131
design__inferred_latch__count,0
design__instance__count,171157
design__instance__area,466947
design__instance_unmapped__count,0
synthesis__check_error__count,13
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,86
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.01926080510020256
power__switching__total,0.006797851994633675
power__leakage__total,4.020533310722385E-7
power__total,0.02605905942618847
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-2.4073397290322998
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.5839875415209546
timing__hold__ws__corner:nom_tt_025C_1v80,0.293526988800847
timing__setup__ws__corner:nom_tt_025C_1v80,5.268178931097226
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.634452
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,11.349101
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,2
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,86
design__max_cap_violation__count__corner:nom_ss_100C_1v60,2
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-2.6295220078961283
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.8189125165326091
timing__hold__ws__corner:nom_ss_100C_1v60,0.8170424568170416
timing__setup__ws__corner:nom_ss_100C_1v60,0.36522252922356885
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.492024
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,4.345587
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,86
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-2.3113644985527686
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.4828293457266793
timing__hold__ws__corner:nom_ff_n40C_1v95,0.17771473684549435
timing__setup__ws__corner:nom_ff_n40C_1v95,6.944971017072011
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.312107
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,13.929931
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,16
design__max_fanout_violation__count,86
design__max_cap_violation__count,5
clock__skew__worst_hold,-2.2955704653577653
clock__skew__worst_setup,0.46406033107517664
timing__hold__ws,0.12471979357844765
timing__setup__ws,0.30456171779928476
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.308568
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,3.989667
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 2920.0 3520.0
design__core__bbox,5.52 10.88 2914.1 3508.8
design__io,645
design__die__area,1.02784E+7
design__core__area,1.0174E+7
design__instance__count__stdcell,171157
design__instance__area__stdcell,466947
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.0458962
design__instance__utilization__stdcell,0.0458962
design__instance__count__class:buffer,7
design__instance__count__class:inverter,2739
design__instance__count__class:sequential_cell,3595
design__instance__count__class:multi_input_combinational_cell,8907
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1000962
design__instance__count__class:tap_cell,144900
design__power_grid_violation__count__net:vssd2,0
design__power_grid_violation__count__net:vccd2,0
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count__net:vssa1,0
design__power_grid_violation__count__net:vdda2,0
design__power_grid_violation__count__net:vssa2,0
design__power_grid_violation__count__net:vdda1,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,26.94
design__instance__displacement__mean,0
design__instance__displacement__max,5.44
route__wirelength__estimated,1.17529E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,8363
design__instance__count__class:clock_buffer,1797
design__instance__count__class:clock_inverter,305
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,5
antenna__violating__nets,50
antenna__violating__pins,51
route__antenna_violation__count,50
antenna_diodes_count,544
design__instance__count__class:antenna_cell,544
route__net,25194
route__net__special,8
route__drc_errors__iter:1,5600
route__wirelength__iter:1,1310073
route__drc_errors__iter:2,1296
route__wirelength__iter:2,1306618
route__drc_errors__iter:3,832
route__wirelength__iter:3,1305693
route__drc_errors__iter:4,23
route__wirelength__iter:4,1305686
route__drc_errors__iter:5,0
route__wirelength__iter:5,1305691
route__drc_errors,0
route__wirelength,1305691
route__vias,160121
route__vias__singlecut,160121
route__vias__multicut,0
design__disconnected_pin__count,337
design__critical_disconnected_pin__count,0
route__wirelength__max,3248.92
timing__unannotated_net__count__corner:nom_tt_025C_1v80,1413
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,1413
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,1413
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,86
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-2.3846520988378295
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.5566818275026454
timing__hold__ws__corner:min_tt_025C_1v80,0.35870862850926244
timing__setup__ws__corner:min_tt_025C_1v80,5.328114988910537
