Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,1179
design__instance__area,5591.61
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,9
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0002930795890279114
power__switching__total,0.00019284641894046217
power__leakage__total,6.478720226965606E-9
power__total,0.0004859324835706502
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2619443069926622
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2619443069926622
timing__hold__ws__corner:nom_tt_025C_1v80,0.4983220643842775
timing__setup__ws__corner:nom_tt_025C_1v80,2.214371415575475
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.822752
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,8.609136
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,9
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.26691313803547584
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.26691313803547584
timing__hold__ws__corner:nom_ss_100C_1v60,0.9075388475373976
timing__setup__ws__corner:nom_ss_100C_1v60,-0.8766108087541976
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-2.437654591621657
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.8766108087541976
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.859947
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,3
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,7.427723
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,9
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25926400649080805
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25926400649080805
timing__hold__ws__corner:nom_ff_n40C_1v95,0.29227004976796894
timing__setup__ws__corner:nom_ff_n40C_1v95,3.5410577694575194
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.468038
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,8.991968
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,9
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25804520361990446
clock__skew__worst_setup,0.25804520361990446
timing__hold__ws,0.28440378634911917
timing__setup__ws,-0.9512311207957101
timing__hold__tns,0.0
timing__setup__tns,-2.6146223703950584
timing__hold__wns,0
timing__setup__wns,-0.9512311207957101
timing__hold_vio__count,0
timing__hold_r2r__ws,0.463543
timing__hold_r2r_vio__count,0
timing__setup_vio__count,9
timing__setup_r2r__ws,7.417029
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 200.0 200.0
design__core__bbox,5.52 10.88 194.12 187.68
design__io,104
design__die__area,40000
design__core__area,33344.5
design__instance__count__stdcell,1179
design__instance__area__stdcell,5591.61
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.167692
design__instance__utilization__stdcell,0.167692
design__instance__count__class:inverter,30
design__instance__count__class:sequential_cell,24
design__instance__count__class:multi_input_combinational_cell,286
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,3545
design__instance__count__class:tap_cell,469
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
floorplan__design__io,102
design__io__hpwl,7742943
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,67.18
design__instance__displacement__mean,0.051
design__instance__displacement__max,6.9
route__wirelength__estimated,10625.4
design__violations,0
design__instance__count__class:timing_repair_buffer,163
design__instance__count__class:clock_buffer,3
design__instance__count__class:clock_inverter,1
design__instance__count__setup_buffer,1
design__instance__count__hold_buffer,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,203
antenna_diodes_count,0
route__net,577
route__net__special,2
route__drc_errors__iter:1,92
route__wirelength__iter:1,11160
route__drc_errors__iter:2,49
route__wirelength__iter:2,11121
route__drc_errors__iter:3,10
route__wirelength__iter:3,11094
route__drc_errors__iter:4,0
route__wirelength__iter:4,11088
route__drc_errors,0
route__wirelength,11088
route__vias,3491
route__vias__singlecut,3491
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,307.71
timing__unannotated_net__count__corner:nom_tt_025C_1v80,2
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,2
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,2
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,9
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.26050851102545863
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.26050851102545863
timing__hold__ws__corner:min_tt_025C_1v80,0.4858940054505291
timing__setup__ws__corner:min_tt_025C_1v80,2.234837267390229
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
