Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,20
design__inferred_latch__count,0
design__instance__count,3575
design__instance__area,14277.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,34
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0010636246297508478
power__switching__total,0.00046729945461265743
power__leakage__total,1.614941602667841E-8
power__total,0.0015309402951970696
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2704985478837539
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.27983902098754565
timing__hold__ws__corner:nom_tt_025C_1v80,0.8399678412789592
timing__setup__ws__corner:nom_tt_025C_1v80,4.757566031348924
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.839968
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,34
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2859536299797529
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2978592179433362
timing__hold__ws__corner:nom_ss_100C_1v60,1.777658848216854
timing__setup__ws__corner:nom_ss_100C_1v60,1.4400108180134579
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.946166
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,34
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26308450607119926
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.274626384961629
timing__hold__ws__corner:nom_ff_n40C_1v95,0.46234739567761296
timing__setup__ws__corner:nom_ff_n40C_1v95,5.783877984709786
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.462347
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,34
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2621537783277576
clock__skew__worst_setup,0.27051925354374873
timing__hold__ws,0.4594522115032653
timing__setup__ws,1.427445757554596
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.459452
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 380.0 380.0
design__core__bbox,5.52 10.88 374.44 367.2
design__io,245
design__die__area,144400
design__core__area,131454
design__instance__count__stdcell,3575
design__instance__area__stdcell,14277.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.108612
design__instance__utilization__stdcell,0.108612
design__instance__count__class:sequential_cell,137
design__instance__count__class:multi_input_combinational_cell,276
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,13640
design__instance__count__class:tap_cell,1862
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
floorplan__design__io,243
design__io__hpwl,40438835
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,31850.8
design__violations,0
design__instance__count__class:timing_repair_buffer,590
design__instance__count__class:clock_buffer,26
design__instance__count__class:clock_inverter,6
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,2
antenna__violating__pins,2
route__antenna_violation__count,2
design__instance__count__class:antenna_cell,678
antenna_diodes_count,0
route__net,1128
route__net__special,2
route__drc_errors__iter:1,200
route__wirelength__iter:1,35703
route__drc_errors__iter:2,41
route__wirelength__iter:2,35555
route__drc_errors__iter:3,48
route__wirelength__iter:3,35561
route__drc_errors__iter:4,5
route__wirelength__iter:4,35548
route__drc_errors__iter:5,0
route__wirelength__iter:5,35552
route__drc_errors,0
route__wirelength,35552
route__vias,7048
route__vias__singlecut,7048
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1248.43
timing__unannotated_net__count__corner:nom_tt_025C_1v80,15
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,15
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,15
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,34
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2705137579396214
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2780145359284279
timing__hold__ws__corner:min_tt_025C_1v80,0.8357033079873111
timing__setup__ws__corner:min_tt_025C_1v80,4.763816587154341
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.835703
